i,mu,x1,x2,f
0,0.001,6.994236208631945,6.9913929663858205,1567.998128247587
1,0.01,6.943252665511539,6.914996933656735,1567.8176581703722
2,0.1,6.476346718219566,6.231547829631642,1552.9756721180988
3,1.0,3.9772738399113137,3.1023015417667796,1157.5093270494613
4,10.0,3.189489001202637,2.3103630816620138,958.2874334440102
