it,x1,x2,f
0,14,6,656
1,13.0670204653,6.38684517293,903.844229014
2,11.5203706136,4.57463140062,997.622226826
3,10.7697270481,4.97738322348,1171.32547198
4,9.1024607805,5.87194116836,1444.61271698
5,6.99999905574,6.99999906421,1568.0
6,7.00000015437,6.9999999187,1568.0
7,7.00000019739,7.00000003988,1568.0
