it,x1,x2,f
0,3,5,1268
1,3.90337146291,5.45168573145,1388.20421944
2,5.99436477134,6.49715957461,1549.0377394
3,6.9993348628,7.00133212406,1567.99994458
4,7.00000354277,7.00000202159,1568.0
5,7.0000004094,7.00000015052,1568.0
