it,x1,x2,f
0,0,0,0
1,5.36110909425,7.83546713856,1495.33058341
2,7.12521372986,7.18542392159,1567.12842013
3,7.05476553099,6.99423938067,1567.94572541
4,7.00000032678,6.99999984465,1568.0
