x1,x2,f
3,5,1268
6.52941176471,5.0,1479.76470588
6.52941176471,6.91815856777,1564.38934858
6.98074319242,6.91815856777,1567.85224956
6.98074319242,6.99665098999,1567.99395395
6.99921199764,6.99665098999,1567.99975259
6.99921199764,6.99986295611,1567.99998988
6.99996775438,6.99986295611,1567.99999959
